village,adjmatrix_key,HHnum_in_village,hhid,hohreligion,castesubcaste,rooftype1,rooftype2,rooftype3,rooftype4,rooftype5,rooftypeoth,room_no,bed_no,electricity,latrine,ownrent,hhSurveyed,leader
35,70,70,35070,2,MINORITY,0,0,1,0,0,,8,2,1,1,1,0,0
35,71,71,35071,1,GENERAL,0,0,0,0,1,,6,2,1,1,1,1,1
35,72,72,35072,1,OBC,0,0,0,0,1,,5,2,1,1,1,1,0
35,73,73,35073,1,OBC,0,0,0,0,1,,3,1,1,1,1,1,0
35,74,74,35074,1,OBC,0,0,0,0,1,,3,0,1,1,1,0,0
35,75,75,35075,1,OBC,0,1,0,0,0,,2,1,1,3,1,0,0
35,76,76,35076,1,OBC,1,0,0,0,0,,2,0,3,3,1,1,0
35,77,77,35077,1,SCHEDULE CASTE,0,0,0,1,0,,2,0,2,3,1,0,0
35,78,78,35078,1,OBC,0,0,0,1,0,,2,0,2,3,5,0,0
35,79,79,35079,1,OBC,0,0,0,1,0,,2,0,2,1,5,0,0
35,80,80,35080,1,SCHEDULE TRIBE,0,0,0,0,1,,3,1,1,1,1,0,1
35,81,81,35081,1,SCHEDULE TRIBE,0,0,0,0,1,,2,1,1,1,1,1,0
35,82,82,35082,2,MINORITY,0,0,0,0,1,,2,1,1,3,1,1,0
35,83,83,35083,1,SCHEDULE CASTE,0,0,0,1,0,,3,1,2,3,5,0,0
35,84,84,35084,1,SCHEDULE CASTE,0,0,0,0,1,,2,1,1,3,1,1,0
35,85,85,35085,1,SCHEDULE TRIBE,0,0,0,1,0,,2,1,2,3,1,1,0
35,86,86,35086,1,SCHEDULE CASTE,0,0,0,1,0,,1,0,1,3,1,1,0
35,87,87,35087,1,SCHEDULE CASTE,0,0,0,1,0,,2,1,1,3,1,0,0
35,88,88,35088,1,SCHEDULE CASTE,0,0,0,1,0,,4,0,2,3,1,1,0
35,89,89,35089,1,SCHEDULE CASTE,0,0,0,1,0,,2,0,3,3,3,1,0
35,90,90,35090,1,OBC,0,0,0,1,0,,2,1,2,3,5,0,0
35,91,91,35091,1,SCHEDULE CASTE,0,0,0,1,0,,2,0,3,3,1,1,0
35,92,92,35092,1,SCHEDULE CASTE,0,0,0,1,0,,2,1,3,3,5,1,0
35,93,93,35093,1,SCHEDULE CASTE,0,0,0,1,0,,2,1,1,3,1,1,0
35,94,94,35094,1,SCHEDULE CASTE,0,0,0,1,0,,2,0,2,3,1,0,0
35,95,95,35095,1,SCHEDULE CASTE,0,0,0,1,0,,3,0,3,3,1,0,0
35,96,96,35096,1,SCHEDULE CASTE,0,0,0,1,0,,2,0,1,3,1,0,0
35,97,97,35097,1,SCHEDULE CASTE,0,0,0,1,0,,3,1,1,3,1,1,0
35,98,98,35098,1,SCHEDULE CASTE,0,0,0,1,0,,5,1,2,3,5,1,0
35,99,99,35099,1,SCHEDULE CASTE,0,0,0,1,0,,3,0,2,1,5,0,0
35,100,100,35100,1,OBC,0,0,0,1,0,,2,1,1,3,1,1,0
35,101,101,35101,2,MINORITY,0,1,0,0,0,,2,0,1,3,3,0,0
35,102,102,35102,1,OBC,0,0,0,0,0,COTTAGE,7,2,1,3,1,1,0
35,103,103,35103,1,OBC,0,0,0,1,0,,2,0,1,3,1,1,0
35,104,104,35104,2,MINORITY,0,0,0,1,0,,2,0,1,3,1,0,0
35,105,105,35105,2,MINORITY,0,0,0,1,0,,2,0,2,3,1,0,0
35,106,106,35106,2,MINORITY,0,0,0,1,0,,2,1,1,3,1,1,0
